アクア,あくあ
マーク（男）,まーく（男）
マーニャ,まーにゃ
マーシャ,まーしゃ
ミコト,みこと
ミカヤ,みかや
ミシェイル,みしぇいる
ミスト,みすと
マルス,まるす
ミディア,みでぃあ
ミデェール,みでぇーる
ミタマ,みたま
ミネルバ,みねるば
ミリエル,みりえる
ミラ,みら
ミランダ,みらんだ
ミドリコ,みどりこ
ミルラ,みるら
ミーシャ,みーしゃ
ムワリム,むわりむ
ミレディ,みれでぃ
メダリオン,めだりおん
メイ,めい
メディウス,めでぃうす
メルセデス,めるせです
モゥディ,もぅでぃ
ヤナフ,やなふ
メグ,めぐ
モズメ,もずめ
ユキムラ,ゆきむら
ユズ,ゆず
ユウギリ,ゆうぎり
ユリア,ゆりあ
ユミナ,ゆみな
ユベロ,ゆべろ
ユリウス,ゆりうす
ユリシーズ,ゆりしーず
ユアン,ゆあん
ユーノ,ゆーの
ユーリス,ゆーりす
ヨシュア,よしゅあ
ライ,らい
ユンヌ,ゆんぬ
ヨハルヴァ,よはるゔぁ
ライアン,らいあん
ヨファ,よふぁ
ラインハルト,らいんはると
ヨハン,よはん
ライナス,らいなす
ラガルト,らがると
ラクチェ,らくちぇ
ラケシス,らけしす
ラス,らす
ラズワルド,らずわるど
ラナ,らな
ラファエル,らふぁえる
ラジャイオン,らじゃいおん
ラルゴ,らるご
ランス,らんす
ララム,ららむ
ラフィエル,らふぃえる
ラーチェル,らーちぇる
ランゴバルト,らんごばると
ラーラ,らーら
リアン,りあん
リィレ,りぃれ
リアーネ,りあーね
ランド,らんど
リオン,りおん
リカード,りかーど
リネア,りねあ
リシテア,りしてあ
リノアン,りのあん
リズ,りず
リヒト,りひと
リフィス,りふぃす
リベラ,りべら
リムステラ,りむすてら
リフ,りふ
リュシオン,りゅしおん
リョウマ,りょうま
リリーナ,りりーな
リリス,りりす
リンカ,りんか
リュート,りゅーと
リンダ（ユグドラル）,りんだ（ゆぐどらる）
リンダ,りんだ
リンハルト,りんはると
リーン,りーん
リン,りん
リーフ,りーふ
ルイーズ,るいーず
リーヴ,りーゔ
ルキナ,るきな
ルカ,るか
ルセア,るせあ
ルッツ,るっつ
ルゥ,るぅ
ルキノ,るきの
ルピナス,るぴなす
ルフレ（女）,るふれ（女）
ルーナ,るーな
ルトガー,るとがー
ルフレ（男）,るふれ（男）
ルーテ,るーて
ルーク,るーく
レア,れあ
レイリア,れいりあ
レイラ,れいら
レイヴァン,れいゔぁん
レオナルド,れおなるど
レオニー,れおにー
レイ,れい
レスター,れすたー
レオン,れおん
レテ,れて
レナック,れなっく
レオ,れお
レックス,れっくす
レベッカ,れべっか
レナ,れな
レンハ,れんは
レナート,れなーと
レヴィン,れゔぃん
ロイ,ろい
ロイド,ろいど
レーヴァテイン,れーゔぁていん
ロキ,ろき
ロウエン,ろうえん
ロット,ろっと
ロス,ろす
ロナン,ろなん
ロビン,ろびん
ロディ,ろでぃ
ロシェ,ろしぇ
ロラン,ろらん
ローラ,ろーら
ローレンツ,ろーれんつ
ローロー,ろーろー
ロンクー,ろんくー
ワード,わーど
ンン,んん
ワレス,われす
ヴァイダ,ゔぁいだ
ヴァネッサ,ゔぁねっさ
ヴァルハルト,ゔぁるはると
ヴァルター,ゔぁるたー
ヴァンパ,ゔぁんぱ
ヴィオール,ゔぃおーる
ヴェイク,ゔぇいく
ヴェロニカ,ゔぇろにか
屍兵,屍兵
ワユ,わゆ
剣 弥代,剣 弥代
弓弦 エレオノーラ,弓弦 えれおのーら
正の使徒,正の使徒
屍兵将,屍兵将
志摩崎 舞子,志摩崎 舞子
源 まもり,源 まもり
漆黒の騎士,漆黒の騎士
死神騎士,死神騎士
炎帝,炎帝
絡繰人形,絡繰人形
赤城 斗馬,赤城 斗馬
白きもの,白きもの
覇骸エーデルガルト,覇骸えーでるがると
織部 つばさ,織部 つばさ
蒼井 樹,蒼井 樹
魔女,魔女
門番,門番
黒乃 霧亜,黒乃 霧亜
？？？,？？？
