card_id,rare,recording,title,name,sortie_cost,cc_cost,symbol1,symbol2,gender,weapon,type1,type2,type3,type4,n_skill_name1,n_skill_name2,n_skill_name3,n_skill_name4,n_skill_text1,n_skill_text2,n_skill_text3,n_skill_text4,s_skill_name1,s_skill_name2,s_skill_text1,s_skill_text2,c_power,s_power,range,class,job,flavor,illustrator
B01-017,N,B01,豪腕の剣闘士,オグマ,2,,光の剣,,男,剣,,,,,宿命の好敵手,,,,『シーダ』か『ナバール』以外のカードはこのユニットの支援に失敗する。,,,,,,,,70,10,1,下級職,傭兵,何の目的もなく、ただ剣を振るうなど…獣にも劣る。,п猫Ｒ
B01-018,HN,B01,タリスの傭兵,オグマ,1,,光の剣,,男,剣,,,,,傭兵隊長,,,,自分のターン中、出撃コストが２以下の味方が他に２体以上いる場合、このユニットの戦闘力は＋２０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,40,10,1,下級職,傭兵,タリス王の命により、我らは王子と共に闘います。,めいさい
B01-018,ST,B01,タリスの傭兵,オグマ,1,,光の剣,,男,剣,,,,,傭兵隊長,,,,自分のターン中、出撃コストが２以下の味方が他に２体以上いる場合、このユニットの戦闘力は＋２０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,40,10,1,下級職,傭兵,タリス王の命により、我らは王子と共に闘います。,めいさい
B01-019,N,B01,タリスの戦士,サジ,1,,光の剣,,男,斧,,,,,戦士の心得,,,,自分のターン中、このユニットの戦闘力は＋２０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,30,10,1,下級職,戦士,おれはマジじゃねえ！　サジだ！,HACCAN
B01-019,ST,B01,タリスの戦士,サジ,1,,光の剣,,男,斧,,,,,戦士の心得,,,,自分のターン中、このユニットの戦闘力は＋２０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,30,10,1,下級職,戦士,おれはマジじゃねえ！　サジだ！,HACCAN
B01-020,N,B01,タリスの斧使い,マジ,1,,光の剣,,男,斧,,,,,戦士の心得,,,,自分のターン中、このユニットの戦闘力は＋２０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,30,10,1,下級職,戦士,おれはサジじゃねえ！　マジだ！,HACCAN
B01-020,ST,B01,タリスの斧使い,マジ,1,,光の剣,,男,斧,,,,,戦士の心得,,,,自分のターン中、このユニットの戦闘力は＋２０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,30,10,1,下級職,戦士,おれはサジじゃねえ！　マジだ！,HACCAN
B01-021,HN,B01,タリスの義勇兵,バーツ,2,,光の剣,,男,斧,,,,,サジマジバーツ,戦士の心得,,,【味方の『サジ』と『マジ』を行動済みにする】このユニットが攻撃した時、コストを支払うなら、戦闘終了まで、このユニットの戦闘力は＋５０され、このユニットが攻撃で破壊するオーブは２つになる。,自分のターン中、このユニットの戦闘力は＋２０される。,,,,,,,40,10,1,下級職,戦士,サジ！　マジ！　行くぜ！,HACCAN
B01-021,ST,B01,タリスの義勇兵,バーツ,2,,光の剣,,男,斧,,,,,サジマジバーツ,戦士の心得,,,【味方の『サジ』と『マジ』を行動済みにする】このユニットが攻撃した時、コストを支払うなら、戦闘終了まで、このユニットの戦闘力は＋５０され、このユニットが攻撃で破壊するオーブは２つになる。,自分のターン中、このユニットの戦闘力は＋２０される。,,,,,,,40,10,1,下級職,戦士,サジ！　マジ！　行くぜ！,HACCAN
B01-022,SR,B01,紅の死神,ナバール,4,3,光の剣,,男,剣,,,,,告死の一閃,二刀流,,,【自分の手札から『ナバール』を１枚退避エリアに置く】ターン終了まで、このユニットの攻撃は神速回避されない。,【】このユニットの攻撃で敵を撃破した時、コストを支払うなら、主人公以外で出撃コストが２以下の敵を１体選び、撃破する。,,,,,,,70,10,1,上級職,ソードマスター,…ごたくはもういい。抜け。,北千里
B01-022,SR+,B01,紅の死神,ナバール,4,3,光の剣,,男,剣,,,,,告死の一閃,二刀流,,,【自分の手札から『ナバール』を１枚退避エリアに置く】ターン終了まで、このユニットの攻撃は神速回避されない。,【】このユニットの攻撃で敵を撃破した時、コストを支払うなら、主人公以外で出撃コストが２以下の敵を１体選び、撃破する。,,,,,,,70,10,1,上級職,ソードマスター,…ごたくはもういい。抜け。,北千里
B01-023,N,B01,凄腕の剣客,ナバール,2,,光の剣,,男,剣,,,,,宿命の好敵手,,,,『シーダ』か『オグマ』以外のカードはこのユニットの支援に失敗する。,,,,,,,,70,10,1,下級職,剣士,お前はおれと同じだ…何も変わりはしない。,箱田真紀
B01-024,HN,B01,紅の剣士,ナバール,1,,光の剣,,男,剣,,,,,無頼の剣,,,,自分のターン中、このユニットと自分の主人公の他に味方が１体もいない場合、このユニットの戦闘力は＋２０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,40,10,1,下級職,剣士,…おれは女に切りつける剣を持ってはおらぬ。,榎本
B01-024,ST,B01,紅の剣士,ナバール,1,,光の剣,,男,剣,,,,,無頼の剣,,,,自分のターン中、このユニットと自分の主人公の他に味方が１体もいない場合、このユニットの戦闘力は＋２０される。,,,,攻撃の紋章,,戦闘終了まで、自分の攻撃ユニットの戦闘力は＋２０される。,,40,10,1,下級職,剣士,…おれは女に切りつける剣を持ってはおらぬ。,榎本
B01-025,HN,B01,慈愛の聖女,レナ,3,2,光の剣,,女,魔法,,,,,聖者の祝福,,,,【】出撃コストが２以下の味方が出撃した時、コストを支払うなら、自分の退避エリアから『レナ』以外で出撃コストが１のカードを１枚選び、手札に加える。,,,,,,,,50,20,1-2,上級職,司祭,勇気をもって、信じる道を進まなければ。,ふみ
B01-026,N,B01,辺境の聖女,レナ,1,,光の剣,,女,杖,,,,,ライブ,ジュリアンとの絆,,,"【,】自分の退避エリアから『レナ』以外のカードを１枚選び、手札に加える。",味方の『ジュリアン』の戦闘力は＋１０される。,,,祈りの紋章,,戦闘終了まで、相手の攻撃ユニットは必殺攻撃できない。,,20,20,,下級職,シスター,ジュリアン、私の事はいいの…あなただけでも逃げて！,ふみ
B01-026,ST,B01,辺境の聖女,レナ,1,,光の剣,,女,杖,,,,,ライブ,ジュリアンとの絆,,,"【,】自分の退避エリアから『レナ』以外のカードを１枚選び、手札に加える。",味方の『ジュリアン』の戦闘力は＋１０される。,,,祈りの紋章,,戦闘終了まで、相手の攻撃ユニットは必殺攻撃できない。,,20,20,,下級職,シスター,ジュリアン、私の事はいいの…あなただけでも逃げて！,ふみ
B01-027,HN,B01,辺境の盗賊,ジュリアン,2,,光の剣,,男,剣,,,,,鍵開け,財宝奪取,,,【】相手のデッキの１番上のカードを公開させる。そのカードの出撃コストが３以上の場合、あなたはしてもよい。そうしたなら、カードを１枚引く。,【】相手のデッキの１番上のカードを退避エリアに置かせる。,,,,,,,50,10,1,下級職,盗賊,盗賊…？　違うね。今は正義の味方ってところさ。,伊藤未生
B01-028,R,B01,疾風の賢者,マリク,4,3,光の剣,,男,魔法,,,,,エクスカリバー,風の超魔法,,,【】ターン終了まで、このユニットは『飛行特効』を得る。（『飛行特効』このユニットが<飛行>を攻撃している場合、このユニットの戦闘力は＋３０される。）,このユニットの攻撃で敵を撃破した時、このユニットがこのターンに『エクスカリバー』を使用しているなら、カードを１枚引く。,,,,,,,60,20,1-2,上級職,賢者,敵はぼくが引き受けます。どうかぼくの後ろに。,あんべよしろう
B01-028,ST,B01,疾風の賢者,マリク,4,3,光の剣,,男,魔法,,,,,エクスカリバー,風の超魔法,,,【】ターン終了まで、このユニットは『飛行特効』を得る。（『飛行特効』このユニットが<飛行>を攻撃している場合、このユニットの戦闘力は＋３０される。）,このユニットの攻撃で敵を撃破した時、このユニットがこのターンに『エクスカリバー』を使用しているなら、カードを１枚引く。,,,,,,,60,20,1-2,上級職,賢者,敵はぼくが引き受けます。どうかぼくの後ろに。,あんべよしろう
B01-029,N,B01,風の魔道士,マリク,1,,光の剣,,男,魔法,,,,,エクスカリバー,,,,【】ターン終了まで、このユニットは『飛行特効』を得る。（『飛行特効』このユニットが<飛行>を攻撃している場合、このユニットの戦闘力は＋３０される。）,,,,魔術の紋章,,カードを１枚引く。自分の手札を１枚選び、退避エリアに置く。,,30,20,1-2,下級職,魔道士,カダインの魔法エクスカリバーの威力をお見せしましょう。,あんべよしろう
B01-029,ST,B01,風の魔道士,マリク,1,,光の剣,,男,魔法,,,,,エクスカリバー,,,,【】ターン終了まで、このユニットは『飛行特効』を得る。（『飛行特効』このユニットが<飛行>を攻撃している場合、このユニットの戦闘力は＋３０される。）,,,,魔術の紋章,,カードを１枚引く。自分の手札を１枚選び、退避エリアに置く。,,30,20,1-2,下級職,魔道士,カダインの魔法エクスカリバーの威力をお見せしましょう。,あんべよしろう
B01-030,R,B01,プリンセス,ミネルバ,4,3,光の剣,,女,斧,飛行,竜,,,飛竜の鞭,アイオテの盾,,,他の<飛行>の味方１体につき、このユニットの戦闘力は＋１０される。,すべての敵は『飛行特効』を失い、新たに得ることもできない。（はこのカードがユニットとして戦場にいる間だけ有効になる）,,,,,,,50,30,1,上級職,ドラゴンナイト,私が兄を倒します。余人ではなく、私自身の手で。,島崎麻里
B01-030,R+,B01,プリンセス,ミネルバ,4,3,光の剣,,女,斧,飛行,竜,,,飛竜の鞭,アイオテの盾,,,他の<飛行>の味方１体につき、このユニットの戦闘力は＋１０される。,すべての敵は『飛行特効』を失い、新たに得ることもできない。（はこのカードがユニットとして戦場にいる間だけ有効になる）,,,,,,,50,30,1,上級職,ドラゴンナイト,私が兄を倒します。余人ではなく、私自身の手で。,島崎麻里
B01-031,N,B01,マケドニアの王女,ミネルバ,1,,光の剣,,女,槍,飛行,獣馬,,,マケドニアの風,,,,<飛行>の味方が他に２体以上いる場合、このユニットの戦闘力は＋１０される。,,,,天空の紋章,,自分の攻撃ユニット以外の味方を１体選ぶ。その味方を移動させてもよい。,,30,30,1,下級職,ペガサスナイト,パオラ、カチュア、エスト。私と共に！,島崎麻里
B01-032,HN,B01,天真爛漫な司祭,マリア,3,2,光の剣,,女,魔法,,,,,リザーブ,,,,"【,】自分の退避エリアから『マリア』以外でユニット名が異なるカードを２枚まで選び、手札に加える。",,,,,,,,50,20,1-2,上級職,司祭,わたしも強くなって、今度は姉様を助けてあげるの。,木村樹崇
B01-033,N,B01,マケドニアの妹姫,マリア,1,,光の剣,,女,杖,,,,,ライブ,マリアの想い,,,"【,】自分の退避エリアから『マリア』以外のカードを１枚選び、手札に加える。",味方の『ミネルバ』と『ミシェイル』の戦闘力は＋１０される。,,,祈りの紋章,,戦闘終了まで、相手の攻撃ユニットは必殺攻撃できない。,,20,20,,下級職,シスター,わたしもお側に置いてください。ね、いいでしょ？,木村樹崇
B01-034,HN,B01,大陸一の弓騎士,ジョルジュ,3,2,光の剣,,男,弓,,,,,無双の射手,飛行特効,,,【出撃コストが２以下の味方を１体行動済みにする】ターン終了まで、このユニットが<飛行>を攻撃している場合、このユニットの攻撃は神速回避されない。,このユニットが<飛行>を攻撃している場合、このユニットの戦闘力は＋３０される。,,,,,,,50,20,2,上級職,スナイパー,私もこの銀の弓をもって、祖国解放の戦いに力をつくします。,伊藤未生
B01-035,R,B01,オーラの継承者,リンダ,3,2,光の剣,,女,魔法,,,,,叡智の泉,オーラ,,,【】出撃コストが２以下の味方が出撃した時、コストを支払うなら、カードを１枚引く。,【】ターン終了まで、このユニットの戦闘力は＋２０される。,,,,,,,50,20,1-2,上級職,賢者,私も戦います…私に託された、このオーラの魔道書で！,クロサワテツ
B01-036,N,B01,大司祭ミロアの娘,リンダ,1,,光の剣,,女,魔法,,,,,サンダー,,,,【】ターン終了まで、このユニットの戦闘力は＋１０される。,,,,魔術の紋章,,カードを１枚引く。自分の手札を１枚選び、退避エリアに置く。,,30,20,1-2,下級職,魔道士,父の仇、ガーネフを私の手で倒したいのです！,クロサワテツ
B01-036,ST,B01,大司祭ミロアの娘,リンダ,1,,光の剣,,女,魔法,,,,,サンダー,,,,【】ターン終了まで、このユニットの戦闘力は＋１０される。,,,,魔術の紋章,,カードを１枚引く。自分の手札を１枚選び、退避エリアに置く。,,30,20,1-2,下級職,魔道士,父の仇、ガーネフを私の手で倒したいのです！,クロサワテツ
B01-036,ST+,B01,大司祭ミロアの娘,リンダ,1,,光の剣,,女,魔法,,,,,サンダー,,,,【】ターン終了まで、このユニットの戦闘力は＋１０される。,,,,魔術の紋章,,カードを１枚引く。自分の手札を１枚選び、退避エリアに置く。,,30,20,1-2,下級職,魔道士,父の仇、ガーネフを私の手で倒したいのです！,クロサワテツ
